run,temp,temppoor,L1temp,L1temppoor,L2temp,L2temppoor,L3temp,L3temppoor,L4temp,L4temppoor,L5temp,L5temppoor,temp2,temp2poor,L1temp2,L1temp2poor,L2temp2,L2temp2poor,L3temp2,L3temp2poor,L4temp2,L4temp2poor,L5temp2,L5temp2poor,tlin,tlinpoor,tsq,tsqpoor
557,.0048917,.0176551,-.0116618,-.0071095,-.0122888,-.0118842,-.0034771,-.0051161,-.0013411,.0034824,.0078519,.0100536,-.0003704,-.0005947,.0004447,.0002898,.0003481,.0001809,.0000177,-.0001278,-.0000247,.0000522,-.000329,-.0001397,-.0160252,.0070814,.0000863,-.0003394
558,.0151395,.0179268,-.0112929,-.0166741,-.0062216,-.0034124,-.0053666,-.0158303,.0023753,.0105504,.0098028,.0087102,-.0005763,-.0007478,.0004894,.0005571,.0001504,.0000103,-6.64e-06,.0001066,.0000203,.0000183,-.0002596,-.0002349,.0044365,.0012707,-.0001824,-.0002903
559,.0177135,.025317,-.0012277,.0224439,-.0082351,-.0100395,.0002351,-.0225145,.0037251,-.0012589,.000437,.0086029,-.0007481,-.0009003,.0000667,-.000316,.0001413,.0000491,-.0000338,.00034,-.0000839,.0001729,.0000961,-.0001525,.012648,.022551,-.0005617,-.0008067
560,.0020547,.0154561,-.0109135,-.0022251,-.0134668,.0170172,-.003326,-.0125321,-.0027018,-.0020384,.0071917,.0072865,-.0003598,-.0004738,.0002892,.0001843,.000204,-.0003446,.0001081,.0001193,-.0000532,.0002475,-.0003174,-.0000555,-.0211618,.0229642,-.0001291,-.0003229
561,.0031486,-.0023126,-.0043465,-.0012815,-.0086117,-.0078289,-.0032342,-.004539,.0055627,.0078286,-.0024523,.0115413,-.0002593,-.0003074,.000301,.0003555,.0000949,.0000804,.0000536,.0000769,-.0002231,.0001561,.0000387,-.0002162,-.0099334,.0034079,5.91e-06,.0001453
562,.0041527,.0092001,-.009108,-.0001504,-.0038081,-.0218673,-.0060915,-.0019268,-.0009223,.0010397,.0045682,.0174392,-.0002782,-.000597,.0003945,.000249,4.36e-06,.00038,.0001726,-.0000765,7.35e-06,.000171,-.0002506,-.000421,-.011209,.0037346,.0000501,-.0002946
563,.0044696,-.0006733,-.0080262,-.0005521,-.0111884,-.0233604,-.0002677,.0112285,.0006938,-.0094453,.0078444,.0167743,-.0002083,-.0001012,.0002996,-.0000277,.0003306,.0003749,-.0001928,-.0004579,.0000282,.0005462,-.0003876,-.0003913,-.0064746,-.0060284,-.0001302,-.0000571
564,.0085187,.0102321,-.0111765,.0019385,-.0123829,-.0128563,-.0027684,-.0136421,.0030052,-.0053527,.0024106,.0022154,-.0004941,-.0004494,.0003549,-.000021,.0003686,.0002534,-.000027,.000098,-.0002258,.0004011,.0000226,-.0000136,-.0123932,-.0174652,-9.90e-07,.0002685
565,.010107,.0094753,-.008387,-.0002138,-.0058339,-.0223191,.0053478,-.00552,.001181,.0014869,.0027329,.0166104,-.0005975,-.0005558,.0004759,.0002517,.0000733,.0004607,-.0003663,.0000312,-.0000307,.000222,-.0001148,-.0005218,.0051477,-.0004804,-.00056,-.0001121
566,.011721,.0262097,-.0132686,-.010598,-.0096936,-.0076489,-.001963,-.0150074,-.0039923,.0158463,.0076686,.0127301,-.000566,-.0008758,.0004809,.0003367,.0003287,.0000597,-.0000691,.0001427,.0001346,-.000383,-.0002051,-.0001199,-.0095279,.0215319,.0001039,-.0008395
