run,temp,temppoor,temp2,temp2poor,prec,precpoor,prec2,prec2poor
490,.009231,.0570718,-.0003989,-.0012993,-2.27e-06,.0000536,1.18e-09,-1.41e-08
491,.0109461,.0297388,-.0003696,-.0008573,.0000254,.0000511,-5.58e-09,-1.50e-08
492,.0088465,.0201552,-.0001356,-.0007354,.0000136,.0000464,-3.76e-09,-1.53e-08
493,.00595,.0491645,-.0002367,-.0012767,5.51e-06,.00004,-2.59e-09,-1.08e-08
494,.0086565,.0593051,-.0003363,-.0015679,-.0000111,.000058,1.27e-09,-1.45e-08
495,.0075366,.0349486,-.0002441,-.0009251,2.17e-06,.0000327,-2.19e-09,-1.02e-08
496,.0055043,.0518455,-.0003881,-.0012908,-9.41e-06,.0000554,-5.04e-10,-1.33e-08
497,.0027582,.0706563,-.0001375,-.0016852,-2.28e-06,.0000483,-4.98e-10,-1.42e-08
498,.00548,.0978541,-.0003226,-.0021876,5.89e-06,.00002,-1.27e-11,-8.56e-09
499,.0120821,.0363313,-.0003184,-.0010444,-6.30e-06,.000034,-5.95e-11,-1.03e-08
500,.00055,.066856,-.0000709,-.0015845,-5.74e-06,.0000477,4.52e-09,-1.21e-08
501,.0069474,.0249494,-.0004817,-.0006513,-5.21e-06,.0000365,4.58e-09,-1.08e-08
502,.0090518,.040546,-.0002927,-.0011625,8.66e-06,.0000308,-2.96e-09,-9.45e-09
503,.007621,.0397068,-.0001755,-.0009399,.0000303,.0000525,-7.00e-09,-1.44e-08
504,.008765,.0199317,-.0003153,-.0005576,-.0000111,.000066,1.33e-09,-1.63e-08
505,.0052976,.0913345,-.0001782,-.0019193,3.03e-06,.000024,-1.36e-10,-8.71e-09
506,.0090786,.0489511,-.0002329,-.0012808,9.09e-06,.0000364,-7.32e-10,-8.44e-09
507,.0084006,.032994,-.0003997,-.0008942,-3.79e-06,.0000518,-6.25e-10,-1.34e-08
